date,route_color,route_grade,route_id,rating,style,wall,offset,comment
2018-10-19,Purple,V4,679ab6d58d75f6abd766dc821bab5cc5,4.0,Attempt,wall-boulders,793.8,loved the footwork on this one
2018-10-07,White,V5,e0c9f11309f3689c1773ffa6ea3b0f8a,3.0,Red Point,wall-boulders,288.8,
